VideoName,FrameCount,MissCount,Accuracy,,GTAcc,FrameExtractionTime
Air_Force_One,4494,4452,0.8514463729417001,85.14463729,0.32261152634110973,00:01:42
Base jumping,4729,3615,0.6906792603557247,69.06792604,0.4095096546188934,00:00:32
Bearpark_climbing,3341,1263,0.4328444577471816,43.28444577,0.5497095978859518,00:00:39
Bike Polo,3064,2343,0.7176675369886858,71.7667537,0.4427419574746573,00:00:43
Bus_in_Rock_Tunnel,5131,3953,0.6970051322029495,69.70051322,0.3646158809147709,00:00:24
car_over_camera,4382,3878,0.8328921344895784,83.28921345,0.5181090186587552,00:00:23
Car_railcrossing,5075,4383,0.7539532019704434,75.3953202,0.4257976655584945,00:00:55
Cockpit_Landing,9046,7591,0.7657454491856437,76.57454492,0.37646007980729246,00:01:26
Cooking,1286,895,0.6421644863233007,64.21644863,0.47619537113404553,00:00:01
Eiffel Tower,4971,4280,0.775859988,77.58599879,0.4695552854716681,00:03:07
Excavators river crossing,9721,7371,0.6778932208620513,67.78932209,0.42991558928843676,00:00:36
Fire Domino,1612,1357,0.7399503722084366,73.99503722,0.39676064750106216,00:00:02
Jumps,950,640,0.6122807017543861,61.22807018,0.4757207756232687,00:00:01
Kids_playing_in_leaves,3187,2062,0.5974898023219327,59.74898023,0.44272794373990904,00:00:18
Notre_Dame,4608,3571,0.7041521990740739,70.41521991,0.38892731843171297,00:00:59
Paintball,6096,5774,0.8685155164427976,86.85155164,0.5402138616777233,00:00:31
paluma_jump,2574,1839,0.6414659414659415,64.14659415,0.48731321342043954,00:00:06
playing_ball,3120,1916,0.582832532,58.28325321,0.472638067,00:00:03
Playing_on_water_slide,3065,2122,0.6341707449700924,63.4170745,0.42425639155970823,00:00:03
Saving dolphines,6683,6363,0.8244002194623172,82.44002195,0.2087977452398589,00:00:25
Scuba,2221,241,0.68252430012977726,68.25243001,0.6885654737300473,00:00:13
St Maarten Landing,1751,1401,0.7644371283636241,76.44371284,0.4751003016633067,00:00:04
Statue of Liberty,3863,2523,0.6266845335079412,62.66845335,0.4411977428585807,00:00:06
Valparaiso_Downhill,5178,2195,0.4533410583236771,45.33410583,0.5246250850934988,00:00:27
