VideoName,FrameCount,MissCount,Accuracy,Acc_2sec,GTAcc,FrameExtractionTime
Air_Force_One,4494,4453,0.8514463729417001,85.14463729,0.32261152634110973,00:34.6
Base jumping,4729,3965,0.7435445595733183,74.35445596,0.38427503173594796,00:05.3
Bearpark_climbing,3341,1636,0.5107851940536765,51.07851941,0.5042188957615383,00:08.8
Bike Polo,3064,2729,0.8048955613577023,80.48955614,0.41559374765660684,00:07.8
Bus_in_Rock_Tunnel,5131,4706,0.8035470668485675,80.35470668,0.29129297306306595,00:03.2
car_over_camera,4382,3927,0.835539328,83.55393276,0.5186239670566345,00:05.7
Car_railcrossing,5075,4857,0.8310714285714287,83.10714286,0.4067899730641365,00:12.9
Cockpit_Landing,9046,8464,0.8304959834917826,83.04959835,0.3413584798046724,00:22.8
Cooking,1286,1103,0.7789772207483304,77.89772207,0.45717004999407423,00:00.5
Eiffel Tower,4971,4743,0.8446590223295111,84.46590223,0.46172155775677565,00:38.1
Excavators river crossing,9721,9044,0.8008435346157803,80.08435346,0.38325776141277135,00:06.0
Fire Domino,1612,1432,0.7684863523573201,76.84863524,0.38292058937620455,00:00.8
Jumps,950,707,0.6445614035087719,64.45614035,0.4660675900277008,00:00.4
Kids_playing_in_leaves,3187,2511,0.6982324024683609,69.82324025,0.3880785695023781,00:10.1
Notre_Dame,4608,4161,0.8048611111111109,80.48611111,0.3373328314887153,00:32.1
Paintball,6096,5845,0.8738999536822603,87.38999537,0.5412461206866859,00:16.3
paluma_jump,2574,2175,0.7413105413105413,74.13105413,0.4796277278794761,00:02.6
playing_ball,3120,2286,0.6574719551282051,65.74719551,0.4444354043392505,00:04.0
Playing_on_water_slide,3065,2546,0.7416421968461121,74.16421968,0.3699980573171283,00:02.1
Saving dolphines,6683,6670,0.8593944835153874,85.93944835,0.17931622664379498,00:16.6
Scuba,2221,348,0.6655511499357064,66.55511499,0.195551149935706,00:06.9
St Maarten Landing,1751,1569,0.8300466960056438,83.0046696,0.4672023916495787,00:06.1
Statue of Liberty,3863,3149,0.7444077294391741,74.44077294,0.3791700454520203,00:06.0
Valparaiso_Downhill,5178,2508,0.4956482554396807,49.56482554,0.505075399,00:22.4
