VideoName,FrameCount,MissCount,Accuracy,GTAcc,FrameExtractionTime
Air_Force_One,4494,4426,0.8463581071057705,0.32478264546567454,0:00:35.790944
Base jumping,4729,4009,0.749794412725265,0.3810935893094448,0:00:05.318340
Bearpark_climbing,3341,1765,0.5279656789384415,0.48844389421839496,0:00:09.024343
Bike Polo,3064,2669,0.7892732811140123,0.41982463749838095,0:00:08.051750
Bus_in_Rock_Tunnel,5131,4694,0.7986357435197817,0.29246301946495484,0:00:03.498422
car_over_camera,4382,3922,0.8347634261372281,0.5185703265985221,0:00:03.703538
Car_railcrossing,5075,4826,0.8266625615763548,0.4080357203523502,0:00:13.570102
Cockpit_Landing,9046,8374,0.8239221755472033,0.34498135136457586,0:00:24.291179
Cooking,1286,1140,0.7897264660140885,0.4537693887275093,0:00:00.482357
Eiffel Tower,4971,4637,0.8347347951451753,0.46351890653984623,0:00:35.025687
Excavators river crossing,9721,8995,0.8017967973116621,0.38462512598568255,0:00:06.232024
Fire Domino,1612,1428,0.7651778329197684,0.38366870062619685,0:00:00.822946
Jumps,950,626,0.6101052631578948,0.4779146814404432,0:00:00.384530
Kids_playing_in_leaves,3187,2480,0.6978767911306349,0.3918601110232787,0:00:08.135841
Notre_Dame,4608,4082,0.7943142361111112,0.34425297489872686,0:00:33.693336
Paintball,6096,5830,0.8750675467037209,0.5410249223276224,0:00:15.729020
paluma_jump,2574,2197,0.7472157472157472,0.47912300942603975,0:00:02.269750
playing_ball,3120,2447,0.687119391025641,0.4321301775147929,0:00:01.413796
Playing_on_water_slide,3065,2525,0.7374877650897228,0.3726917334851997,0:00:01.460791
Saving dolphines,6683,6670,0.8593944835153874,0.17931622664379498,0:00:13.205617
Scuba,2221,355,0.1912493047646794,0.6640313361002311,0:00:05.812085
St Maarten Landing,1751,1512,0.8121409614673968,0.46989808548659967,0:00:01.952585
Statue of Liberty,3863,3163,0.7531178145604605,0.3777806250301134,0:00:03.401564
Valparaiso_Downhill,5178,2826,0.5488219389725763,0.4851497578443786,0:00:13.600634
