VideoName,FrameCount,MissCount,Accuracy,GTAcc,F1_score_SSIM
Air_Force_One,4494,520,0.242471,0.638871,0.287497
Base jumping,4729,8,0.13994,0.670388,0.263332
Bearpark_climbing,3341,1613,0.514477,0.507031,0.3386
Bike Polo,3064,759,0.334008,0.554508,0.315371
Bus_in_Rock_Tunnel,5131,0,0.127396,0.750146,0.261562
car_over_camera,4382,3736,0.829073,0.516575,0.638396
Car_railcrossing,5075,1810,0.387401,0.529235,0.275416
Cockpit_Landing,9046,689,0.19109,0.654334,0.267837
Cooking,1286,1031,0.726923,0.463788,0.337182
Eiffel Tower,4971,2,0.118326,0.542111,0.262587
Excavators river crossing,9721,28,0.141227,0.634853,0.261657
Fire Domino,1612,417,0.362655,0.572754,0.302988
Jumps,950,22,0.164351,0.566256,0.275093
Kids_playing_in_leaves,3187,579,0.265809,0.623754,0.264982
Notre_Dame,4608,1913,0.434664,0.53425,0.331756
Paintball,6096,5052,0.812963,0.529552,0.589577
paluma_jump,2574,2396,0.810645,0.474558,0.117188
playing_ball,3120,1712,0.53119,0.488306,0.3748
Playing_on_water_slide,3065,1122,0.388711,0.552655,0.291562
Saving dolphines,6683,3007,0.4447,0.532227,0.33096
Scuba,2221,516,0.233281,0.629076,0.218688
St Maarten Landing,1751,1426,0.801995,0.473965,0.457467
Statue of Liberty,3863,2354,0.590474,0.458069,0.526975
Valparaiso_Downhill,5178,2146,0.440595,0.527758,0.293404
