VideoName,Mn_OptFlw_F1Score,Mx_OptFlw_F1Score,Mn_SSIM_F1_score,Mx_SSIM_F1_score,Mx_OptMd_F1Score
Air_Force_One,0.005217,0.026374,0.259572,0.287497,0.026374
Base jumping,0.070978,0.286396,0.24314,0.263332,0.286396
Bearpark_climbing,0.144262,0.250138,0.264983,0.3386,0.250138
Bike Polo,0.03522,0.304348,0.237615,0.315371,0.304348
Bus_in_Rock_Tunnel,0.155625,0.294069,0.22457,0.261562,0.155625
car_over_camera,0.026013,0.079077,0.359972,0.638396,0.079077
Car_railcrossing,0.012782,0.134585,0.209142,0.275416,0.134585
Cockpit_Landing,0.08178,0.291478,0.228992,0.267837,0.291478
Cooking,0.184757,0.251897,0.178432,0.337182,0.251897
Eiffel Tower,0.246103,0.511124,0.209798,0.262587,0.246103
Excavators river crossing,0.157136,0.333739,0.244271,0.261657,0.157136
Fire Domino,0.15519,0.363333,0.278184,0.302988,0.15519
Jumps,0.216064,0.465455,0.257943,0.275093,0.216064
Kids_playing_in_leaves,0.147402,0.334007,0.226552,0.264982,0.147402
Notre_Dame,0.092529,0.333981,0.20616,0.331756,0.333981
Paintball,0.057793,0.13253,0.338393,0.589577,0.13253
paluma_jump,0.067683,0.241808,0.041886,0.117188,0.241808
playing_ball,0.136373,0.454976,0.203679,0.3748,0.136373
Playing_on_water_slide,0.083713,0.409692,0.193838,0.291562,0.083713
Saving dolphines,0.105029,0.290973,0.194279,0.33096,0.290973
Scuba,0.135635,0.40201,0.1466,0.218688,0.135635
St Maarten Landing,0.178251,0.325792,0.390909,0.457467,0.325792
Statue of Liberty,0.039802,0.421557,0.172087,0.526975,0.421557
Valparaiso_Downhill,0.160985,0.354331,0.223764,0.293404,0.354331
