TvSum_SSIM_F1Scr,TvSum_OptcFlw_F1Scr,,,,,
0.515685,0.167335,,,,,
0.523013,0.323316,,,,,
0.498636,0.176381,,,,,
0.527377,0.201966,,,,,
0.629787,0.452954,,,,,
0.518889,0.237358,,,,,
0.165629,0.221958,,,,,
0.352661,0.145803,,,,,
0.560995,0.027055,,,,,
0.508071,0.231146,,,,,
0.240547,0.10757,,,,,
0.999865,0.178649,,,,,
0.464825,0.243215,,,,,
0.600618,0.252045,,,,,
0.50977,0.345562,,,,,
0.504332,0.2346,,,,,
0.533037,0.112123,,,,,
0.084967,0.015172,,,,,
0.541925,0.309813,,,,,
0.538258,0.01637,,,,,
0.521123,0.36074,,,,,
0.242781,0.006367,,,,,
0.566308,0.137931,,,,,
0.804119,0.387255,,,,,
0.197613,0.038823,,,,,
0.32733,0.419986,,,,,
0.487796,0.090186,,,,,
0.547052,0.230071,,,,,
0.523124,0.06703,,,,,
0.422721,0.306358,,,,,
0.855382,0.365044,,,,,
0.503082,0.09341,,,,,
0.510638,0.179975,,,,,
0.395843,0.114598,,,,,0.197617
0.580149,0.058881,,,,,
0.208092,0.139613,,0.139613,,,
0.197617,0.069246,,0.05359,,,
0.599314,0.333071,,,,,
0.507636,0.275454,,,,,
0.297159,0.08658,,,,,
0.547864,0.279847,,,,,
0.536323,0.149871,,,,,
0.532057,0.300601,,,,,
0.321305,0.05359,,,,,
0.528714,0.107853,,,,,
0.531272,0.384494,,,,,
0.510076,0.167282,,,,,
0.315504,0.184434,,,,,
0.539249,0.114845,,,,,
0.552479,0.332616,,,,,
