VideoName,FrameCount,MissCount,Accuracy,AccuracyM,GTAcc,Mn_F1_score,Max_F1_score,Time
-esJrBWj2d8,6912,6717,0.77908,0.7117332175925927,0.828848,0.046637,0.167335,0:00:40.708406
0tmA_C6XwfM,3532,3355,0.815119,0.6811438278595696,0.714892,0.066874,0.323316,0:00:42.051222
37rzWOQsNIw,5742,5568,0.822187,0.7060780215952629,0.801289,0.070732,0.176381,0:00:27.408517
3eYKfiOEJNs,4853,4634,0.81599,0.7011539254069648,0.719143,0.047955,0.201966,0:00:10.383267
4wU_LUjG5Ic,4005,3786,0.875156,0.7243695380774032,0.86417,0.165224,0.452954,0:00:10.658722
91IHQYk1IQM,3312,3186,0.776872,0.6809480676328502,0.802234,0.038569,0.237358,0:00:08.660046
98MoyGZKHXc,4688,4404,0.766212,0.657988481228669,0.672782,0.039152,0.221958,0:00:12.145852
akI8YFjEmUw,3995,3873,0.781477,0.7089111389236545,0.864831,0.086408,0.145803,0:00:11.317311
AwmHb44_ouw,10597,10528,0.807587,0.718061715579881,0.750967,0.006672,0.027055,0:00:25.059791
b626MiF1ew4,5661,5393,0.754284,0.6956721427309662,0.793853,0.097676,0.231146,0:00:15.131238
Bhxk-O1Y7Ho,13511,13078,0.791207,0.720794167715195,0.742506,0.032714,0.10757,0:00:36.408609
byxOvuiIJV0,3705,3489,0.796491,0.6536842105263158,0.777868,0.065268,0.178649,0:00:09.473932
cjibtmSLxQ4,19406,16563,0.724157,0.6803591672678554,0.72457,0.190827,0.243215,0:00:47.613204
E11zDS9XGzg,15307,14493,0.794996,0.7009864767753317,0.846867,0.075524,0.252045,0:00:43.690534
EE-bNr36nyA,2941,2756,0.811969,0.728714722883373,0.776267,0.158761,0.345562,0:00:09.642184
eQu1rNs0an0,4931,4718,0.803083,0.7151693368485095,0.766782,0.085483,0.2346,0:00:13.324044
EYqVtI9YWJA,5939,5766,0.786664,0.7062468429028457,0.750968,0.073775,0.112123,0:00:14.172340
fWutDQy1nnY,17527,17498,0.837051,0.7184172990243625,0.704627,0.000798,0.015172,0:00:35.933213
GsAD1KT1xo8,4356,4119,0.81359,0.6974747474747475,0.799357,0.0998,0.309813,0:00:12.572282
gzDbaEs1Rlg,7210,7193,0.782663,0.7150208044382801,0.803467,0.002466,0.01637,0:00:19.159748
Hl-__g2gn_A,5846,5042,0.787205,0.6804054054054054,0.747178,0.205977,0.36074,0:00:17.068419
HT5vyqe0Xaw,9671,9661,0.825561,0.7335590941991522,0.875194,0.00063,0.006367,0:00:25.560216
i3wAGJaaktw,4700,4634,0.829787,0.723095744680851,0.743191,0.051937,0.137931,0:00:12.804076
iVt07TCkFM0,2500,2290,0.8,0.69894,0.6952,0.170094,0.387255,0:00:07.528320
J0nA4VgnoCo,14019,13957,0.814323,0.7373564448248805,0.773308,0.003891,0.038823,0:00:38.042513
