VideoName,FrameCount,MissCount,Accuracy,AccuracyM,GTAcc,Mean_F1_score,Max_F1_score,Time
#NAME?,6912,4,0.347801,0.27544849537037036,0.148148,0.429991,0.515685,00:09.8
0tmA_C6XwfM,3532,2,0.354473,0.29459229898074746,0.241223,0.453749,0.523013,00:04.3
37rzWOQsNIw,5742,2716,0.600662,0.48592824799721346,0.433473,0.367149,0.498636,00:07.0
3eYKfiOEJNs,4853,106,0.372141,0.2822377910570781,0.258809,0.421742,0.527377,00:04.6
4wU_LUjG5Ic,4005,978,0.587266,0.43722846441947566,0.398502,0.449518,0.629787,00:05.1
91IHQYk1IQM,3312,58,0.361715,0.3071859903381643,0.180556,0.45777,0.518889,00:04.1
98MoyGZKHXc,4688,4433,0.769411,0.6692512798634811,0.690913,0.053544,0.165629,00:05.8
akI8YFjEmUw,3995,3613,0.795995,0.6935168961201502,0.845807,0.202435,0.352661,00:05.0
AwmHb44_ouw,10597,5212,0.64037,0.5534396527319052,0.576012,0.42807,0.560995,00:11.1
b626MiF1ew4,5661,23,0.343226,0.29314608726373426,0.173821,0.449419,0.508071,00:07.0
Bhxk-O1Y7Ho,13511,11893,0.764044,0.6958515283842794,0.716527,0.1899,0.240547,00:17.1
byxOvuiIJV0,3705,1,0.99973,0.31695006747638327,0.168691,0.465258,0.999865,00:04.6
cjibtmSLxQ4,19406,2367,0.35319,0.3029552715654952,0.25018,0.380227,0.464825,00:18.1
E11zDS9XGzg,15307,3142,0.535441,0.3698961259554452,0.280003,0.40539,0.600618,00:18.4
EE-bNr36nyA,2941,360,0.419925,0.31592995579734784,0.343081,0.396874,0.50977,00:03.7
eQu1rNs0an0,4931,31,0.338674,0.27118231596025144,0.221253,0.420897,0.504332,00:06.0
EYqVtI9YWJA,5939,0,0.363361,0.288651288,0.242128,0.445619,0.533037,00:06.2
fWutDQy1nnY,17527,17033,0.824271,0.703252125,0.682262,0.038485,0.084967,00:15.9
GsAD1KT1xo8,4356,0,0.371671,0.28473370064279163,0.151515,0.440301,0.541925,00:05.4
gzDbaEs1Rlg,7210,32,0.370596,0.2861581137309292,0.198613,0.439988,0.538258,00:08.8
Hl-__g2gn_A,5846,0,0.352378,0.2656602805336982,0.164044,0.418194,0.521123,00:07.3
HT5vyqe0Xaw,9671,8749,0.769621,0.6840088925654018,0.795885,0.123727,0.242781,00:11.8
i3wAGJaaktw,4700,300,0.433617,0.3099468085106383,0.312979,0.429011,0.566308,00:05.7
iVt07TCkFM0,2500,3,0.6728,0.2871800000000001,0.27,0.438098,0.804119,00:03.1
J0nA4VgnoCo,14019,12961,0.77395,0.6844639417932806,0.709109,0.058138,0.197613,00:16.7
jcoYJXDG9sw,5971,5713,0.856138,0.7554262267626864,0.816446,0.184065,0.32733,00:06.6
JgHubY5Vw3Y,4304,29,0.327138,0.268564126,0.187732,0.417397,0.487796,00:05.2
JKpqYvAdIsw,3802,81,0.389795,0.29627827459231987,0.179116,0.441649,0.547052,00:03.6
kLxoNp-UchI,3896,0,0.354209,0.3053773100616016,0.215349,0.466887,0.523124,00:04.7
LRw_obCPUt0,6241,4988,0.753245,0.6777519628264701,0.710944,0.304249,0.422721,00:07.9
NyBmCxDoHJU,4740,3,0.747468,0.31834388185654017,0.201055,0.470451,0.855382,00:09.0
oDXZc0tZe04,11414,0,0.336079,0.28383564,0.110303,0.440581,0.503082,00:18.3
PJrm840pAUI,6580,0,0.342857,0.26012158054711254,0.087538,0.41086,0.510638,00:10.1
qqR6AEXwxoQ,8073,7986,0.839217,0.7445683141335315,0.881085,0.056873,0.114598,00:11.3
RBCABdttQmI,10917,3186,0.555189,0.46031876889255285,0.409362,0.446863,0.580149,00:14.3
Se3oxnaPsz0,4165,4021,0.786315,0.7275750300120049,0.740216,0.077816,0.139613,00:04.1
sTEELN-vY30,4468,4386,0.795434,0.729946285,0.75,0.043044,0.069246,00:05.5
uGu_10sucQo,4009,1074,0.562734,0.47788725367922175,0.375156,0.474523,0.599314,00:05.0
vdmoEJ5YbrQ,9870,1,0.340223,0.2530547112462006,0.097163,0.402114,0.507636,00:16.4
VuWGsYPqAX8,5412,4302,0.659645,0.6339153732446415,0.679231,0.206592,0.297159,00:07.0
WG0MBPpPC6I,9534,0,0.377281,0.27906964547933716,0.171177,0.433954,0.547864,00:12.2
WxtbjNsCQ8A,7959,1973,0.501194,0.39773840934790805,0.363739,0.405724,0.536323,00:09.9
XkqCExn6_Us,5631,3921,0.71355,0.6180962528858107,0.69366,0.347738,0.532057,00:06.9
xmEERLqJ2kU,13365,13234,0.808829,0.72889263,0.783464,0.027599,0.05359,00:16.4
xwqBXPGE9pQ,7010,3,0.359629,0.2903780313837375,0.197004,0.447923,0.528714,00:08.7
xxdtq8mxegs,4324,196,0.389917,0.31524051803885295,0.253469,0.443068,0.531272,00:04.0
XzYM3PfTM4w,3327,0,0.34235,0.2697475202885482,0.252179,0.423402,0.510076,00:04.1
Yi4Ij2NM7U4,9731,7221,0.6617,0.6141249614633645,0.640941,0.251816,0.315504,00:12.0
z_6gVvQb2d0,8281,0,0.369158,0.2660185967878276,0.188142,0.417811,0.539249,00:10.1
_xMr-HKMfVA,4463,111,0.39525,0.309970872,0.197401,0.454137,0.552479,00:05.4
