VideoName,Frames,,Threshold9.5,Adaptive Threshold 9 (5sec),Absolute Diff,Diff %,,,,,,
Air_Force_One.mp4,4494,,78,1034,-956,-1225.641026,23.00845572,,,,,
Base jumping.mp4,4729,,3901,2681,1220,31.2740323,56.69274688,,,,,
Bearpark_climbing.mp4,3341,,3341,2122,1219,36.48608201,63.51391799,,,,,
Bike Polo.mp4,3064,,3031,1656,1375,45.36456615,54.04699739,,,,,
Bus_in_Rock_Tunnel.mp4,5131,,4395,2310,2085,47.44027304,45.02046385,,,,,0
car_over_camera.mp4,4382,,662,941,-279,-42.14501511,21.47421269,,,,,
Car_railcrossing.mp4,5075,,2957,2369,588,19.8850186,46.67980296,,,,,
Cockpit_Landing.mp4,9046,,8631,4428,4203,48.69655892,48.94981207,,,,,
Cooking.mp4,1286,,1229,739,490,39.86981286,57.46500778,,,,,
Eiffel Tower.mp4,4971,,4354,2148,2206,50.6660542,43.21062161,,,,,
Excavators river crossing.mp4,9721,,9550,5271,4279,44.80628272,54.22281658,,,,,
Fire Domino.mp4,1612,,967,813,154,15.92554292,50.43424318,,,,,
Jumps.mp4,950,,897,525,372,41.47157191,55.26315789,,,,,
Kids_playing_in_leaves.mp4,3187,,3027,1564,1463,48.33168153,49.07436461,,,,,
Notre_Dame.mp4,4608,,4211,2058,2153,51.1279981,44.66145833,,,,,
Paintball.mp4,6096,,492,2041,-1549,-314.8373984,33.48097113,,,,,
paluma_jump.mp4,2574,,2526,1284,1242,49.16864608,49.88344988,,,,,
playing_ball.mp4,3120,,2885,1681,1204,41.73310225,53.87820513,,,,,
Playing_on_water_slide.mp4,3065,,2735,1558,1177,43.03473492,50.8319739,,,,,
Saving dolphines.mp4,6683,,6360,3303,3057,48.06603774,49.42391142,,,,,
Scuba.mp4,2221,,2208,1126,1082,49.00362319,50.69788384,,,,,
St Maarten Landing.mp4,1751,,764,724,40,5.235602094,41.34780126,,,,,
Statue of Liberty.mp4,3863,,2914,1824,1090,37.405628,47.21718871,,,,,
Valparaiso_Downhill.mp4,5178,,5174,2169,3005,58.07885582,41.88876014,,,,,
